Subject,LOCATION,Country,Interest-Rate,Year,Month
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.0,2016,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.77,2016,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.75,2016,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.75,2016,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.52,2016,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2016,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2016,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2016,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2016,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2017,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2017,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2017,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2017,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2017,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2017,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2017,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2017,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2017,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2017,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2017,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2017,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2018,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2018,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2018,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2018,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2018,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2018,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2018,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2018,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2018,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2018,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2018,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2018,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2019,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2019,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2019,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2019,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.5,2019,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.28,2019,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.02,2019,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.0,2019,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.0,2019,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.76,2019,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.75,2019,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.75,2019,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.75,2020,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.75,2020,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.43,2020,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.25,2020,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.25,2020,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.25,2020,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.25,2020,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.25,2020,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.25,2020,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.25,2020,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.11,2020,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.1,2020,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.1,2021,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.1,2021,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.1,2021,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.1,2021,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.1,2021,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.1,2021,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.1,2021,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.1,2021,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.1,2021,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.1,2021,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.1,2021,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.1,2021,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.1,2022,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.1,2022,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.1,2022,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.1,2022,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.33,2022,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,0.73,2022,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,1.28,2022,7
