Date,Open,High,Low,Close
30/04/2008,100.5,117.56,98.99,111.36
31/03/2008,100.12,108.02,96.92,100.3
29/02/2008,91.5,101.27,86.83,100.1
31/01/2008,94.47,98.5,85,92.21
31/12/2007,88.74,95.87,86.56,93.85
30/11/2007,90.94,96.65,87.55,88.26
31/10/2007,79.25,91.18,75.64,90.63
28/09/2007,72.69,81.05,72.69,79.17
31/08/2007,76.95,77.16,68.14,72.69
31/07/2007,71.22,78.4,70.92,77.05
29/06/2007,68.15,72.25,67.61,71.41
31/05/2007,67.53,71.8,63.8,68.04
30/04/2007,67.91,69.59,64.76,67.65
30/03/2007,61.78,69.14,59.79,68.1
28/02/2007,57.2,62.18,56.1,61.89
31/01/2007,60.88,61.64,50.75,57.4
29/12/2006,63.85,64.92,60.04,60.86
30/11/2006,58.85,64.77,57.75,64.26
31/10/2006,62.7,62.82,57.39,59.03
29/09/2006,70.42,70.66,59.32,62.48
31/08/2006,75.15,78.64,68.82,70.25
31/07/2006,73.26,78.18,72.11,75.15
30/06/2006,70.25,73.69,66.33,73.51
31/05/2006,71.98,74.97,67.63,70.41
28/04/2006,66.69,74.79,65.73,72.5
31/03/2006,61.95,67.05,59.26,65.91
28/02/2006,65.76,67.27,57.9,61.76
31/01/2006,59.35,67.32,59.08,65.99
30/12/2005,55,60.4,54.63,58.98
30/11/2005,58.07,60.65,53.75,55.05
31/10/2005,63.63,63.96,57.05,58.1
30/09/2005,66.7,67.88,61,63.48
31/08/2005,59.85,68.89,59.37,67.02
29/07/2005,55.7,60.7,55.25,59.37
30/06/2005,50.85,59.59,50.85,55.58
31/05/2005,51.78,52.43,47.47,50.73
29/04/2005,54.52,57.65,50.35,51.09
31/03/2005,50.08,56.15,49.05,54.29
28/02/2005,45.48,50.34,42.46,50.06
31/01/2005,39.4,47.35,38.81,45.92
31/12/2004,45.35,45.43,37,40.46
30/11/2004,49.2,49.6,40.05,45.51
29/10/2004,46.2,51.95,45.8,48.98
30/09/2004,39.9,46.8,39.7,46.38
31/08/2004,39.7,45.15,39.2,39.61
30/07/2004,34.25,40.05,34.18,40.03
30/06/2004,37.15,39.12,33.08,34.5
31/05/2004,35.22,38.9,34.95,36.58
30/04/2004,32.23,35,29.95,34.48
31/03/2004,32.33,33.82,31.15,31.51
27/02/2004,29,32.35,28.44,32.23
30/01/2004,29.57,32.12,28.81,29.18
31/12/2003,28.43,31.15,27.76,30.17
28/11/2003,27.98,30.52,26.97,28.45
31/10/2003,27.58,31.5,26.75,27.7
30/09/2003,29.45,29.55,25.05,27.61
29/08/2003,28.45,30.59,28.02,29.49
31/07/2003,28.2,29.6,27.21,28.37
30/06/2003,26.7,28.52,25.8,28.33
30/05/2003,24,27.01,23.34,26.32
30/04/2003,27.56,27.56,23.05,23.68
31/03/2003,32.45,34.55,24,27.18
28/02/2003,30.89,33.94,30.1,32.79
31/01/2003,29.3,31.8,27.85,31.1
31/12/2002,25.35,31.02,25.12,28.66
29/11/2002,25.77,26.05,22.56,25.16
31/10/2002,28.85,29.39,25.05,25.72
30/09/2002,27.4,29.88,26.45,28.75
30/08/2002,25.35,27.92,24.65,27.47
31/07/2002,25.5,26.66,24.65,25.44
28/06/2002,24.1,25.85,23.22,25.58
31/05/2002,26,27.35,23.93,24.45
30/04/2002,26.36,28.15,23.81,26.47
29/03/2002,21.35,25.95,21.2,25.92
28/02/2002,19.36,21.71,18.8,21.33
31/01/2002,19.46,22.4,18.23,19.18
31/12/2001,18.92,20.9,17.7,19.9
30/11/2001,20.35,21.63,16.65,19.14
